Creator1,Creator2,Creator3,Creator4,Title,Creation Date,Destruction Date,Display Date,Extant,Location,City,Location Display,Geocoordinates,Link to Luna,Filename,Image Source
Lilian Bruelc ,,,,Chapel ,1964,,creation date: 1964,,1300 S. Wabash Ave.,Chicago,1300 S. Wabash Ave.,,,,
Jodi Bonet,,,,Ceramic Mural,1965,,creation date: 1965,,1365 E. 60th St.,Chicago,"Sonia Shankman Orthogenic School, 1365 E. 60th St.",,,,
Fifth City Community Organization,,,,Iron Men,1967,"
",creation date: 1967,,3425 W. 5th Ave.,Chicago,"5th City Community Organization, 3425 W. 5th Ave.",,,,
Eugene Eda,Barbara Jones-Hogu,Norman Parish,William Walker,Wall of Respect,1967,1971,creation date: 1967; destroyed: 1971,No,4313 S. Langley Ave.,Chicago,4313 S. Langley Ave.,,http://luna.lib.uchicago.edu/luna/servlet/s/g2m0y3,7148475.jpg,"Mark Rogovin, original photography; For educational use only."
Ruth Duckworth,,,,"Earth, Sky, Water",1968,,creation date: 1968,Yes,5734 S. Ellis Ave.,Chicago,5734 S. Ellis Ave.,,,,
Mario Castillo,,,,Metaphisica (Metafysica),1968,,creation date: 1968,,1935 S. Halsted St.,Chicago,"Urban Progress Center, 1935 S. Halsted St.",,,,
Louis Boyd,,,,Soul of Black Folks,1968,,creation date: 1968,,150 N. LaSalle St.,Chicago,150 N. LaSalle St.,,,,
Louis Boyd,,,,St. George Mural,1968,,creation date: 1968,,39th St. & Wells St.,Chicago,39th St. and Wells St.,"41.823627, -87.632548",,,
attributed to William Walker,,,,Black Laws,1968,,creation date: 1968,,4313 S. Langley Ave.,Chicago,4313 S. Langley Ave.,,http://luna.lib.uchicago.edu/luna/servlet/s/r90jk2,7136152.jpg,"Mark Rogovin, original photography; For educational use only."
John Weber,Martinez,Students,,All Power to the People,1969,,creation date: 1969,,869 N. Sedgewick St.,Chicago,869 N. Sedgewick St.,,,,
Keithen Carter,,,,Ascension (Crucifixion),1969,,creation date: 1969,No,357 W Locust St,Chicago,357 W. Locust St.,,,,
Don McIlvaine,,,,Into the Mainstream,1969,,creation date: 1969,No,16th St. and Lawndale Ave.,Chicago,16th St. and Lawndale Ave.,,,,
Louis Boyd,,,,Plight of Black Man in America,1969,,creation date: 1969,,6800 S. Stewart Ave.,Chicago,6800 S. Stewart Ave.,,,,
Dir. Mario Castillo,,,,Wall of Brotherhood,1969,,creation date: 1969,,1800 S. Halsted St.,Chicago,1800 S. Halsted St.,,,,
Eugene Eda,William Walker,,,Wall of Truth,1969,,creation date: 1969,No,4300 S. Langley Ave.,Chicago,4300 S. Langley Ave.,,http://luna.lib.uchicago.edu/luna/servlet/s/3m0773,7136195.jpg,"Mark Rogovin, original photography; For educational use only."
Kathy English,,,,Sunburst,1969,,creation date: 1969,,3425 W. 5th St.,Chicago,3425 W. 5th St.,,http://luna.lib.uchicago.edu/luna/servlet/s/x69l09,7148589.jpg,"Mark Rogovin, original photography; For educational use only."
John Weber,Martinez,Students,,The Wall of Choices,1970,,creation date: 1970,,2507 N. Greenview Ave.,Chicago,"Christopher House Settlement, 2507 N. Greenview Ave.",,,,
Mitchell Caton,,,,Universal Alley / Rip-off,1970,,creation: 1970/1974,No,50th St. between Champlain Ave. and St. Lawrence Ave.,Chicago,50th St. between Champlain Ave. and St. Lawrence Ave.,"41.804070, -87.610644",http://luna.lib.uchicago.edu/luna/servlet/s/vjqi8s,7148542.jpg,"Mark Rogovin, original photography; For educational use only."
Ray Patlan ,,,,Mural on Casa Aztlán,1971,,creation: 1971/1973,Yes,181 W. Madison St.,Chicago,181 W. Madison St.,,http://luna.lib.uchicago.edu/luna/servlet/s/12uv6y,7148565.jpg,"Mark Rogovin, original photography; For educational use only."
Mark Rogovin,Holly Highfill,,,Unity of the People,1970,,creation date: 1970,,3932 W. Madison St.,Chicago,"Christian Ministry, 3932 W. Madison St.","
",http://luna.lib.uchicago.edu/luna/servlet/s/k98057,7165656.jpg,"Rogovin, Mark, Personal slides; For educational use only."
Mitchell Caton,,,,Untitled Music Mural in the Universal Alley,1969,,creation date: 1969,No,50th St. between Champlain Ave. and St. Lawrence Ave.,Chicago,50th St. between Champlain Ave. and St. Lawrence Ave.,"41.804070, -87.610644",http://luna.lib.uchicago.edu/luna/servlet/s/9iff16,7148546.jpg,"Mark Rogovin, original photography; For educational use only."
Vanita Green ,,,,"Black Women (now ""Racism"")",1970,,creation date: 1970,,861 N. Orleans St.,Chicago,861 N. Orleans St.,,,,
Sachio Yamashita,,,,Environment ,1970,,creation date: 1970,No,435 N. Michigan Ave.,Chicago,435 N. Michgan Ave. (the mural extends across several addresses on Lower Michigan),,,,
Mitchell Caton,,,,No More Tears,1970,,creation date: 1970,,610 E. 50th St.,Chicago,610 E. 50th St.,,,,
William Walker,,,,Peace and Salvation: Wall of Understanding,1970,1991,creation date: 1970; destroyed: 1991,No,872 N. Orleans St.,Chicago,872 N. Orleans St.,,http://luna.lib.uchicago.edu/luna/servlet/s/16p469,7136177.jpg,"Mark Rogovin, original photography; For educational use only."
Chicago Fine Arts Guild,,,,People's Handshake,1970,,creation date: 1970,,Lake St. between Central Ave. and Laramie Ave.,Chicago,"Lake St. between Central Ave. and Laramie Ave. (west bound Lake St., cross over to the other side)","41.887367, -87.759547",,,
Mark Rogovin,,,,Protect the People's Homes,1970,1972,creation date: 1970; destroyed: 1972,No,3921 N. Sheridan Rd.,Chicago,3921 N. Sheridan Rd.,,http://luna.lib.uchicago.edu/luna/servlet/s/mxv111,7140136.jpg,"Mark Rogovin, original photography; For educational use only."
Don McIlvaine,,,,Untitled,1970,,creation date: 1970,,South Shore Dr. Underpass at 55th St.,Chicago,Illinois Central Underpass at 55th St. and S. Lake Park Ave,"41.795129, -87.587451",,,
Mark Rogovin,Holly Highfill,,,Towards Freedom,1970,,creation date: 1970,,540 S. Lake Shore Dr.,Chicago,"Columbia College Snackbar, 540 S. Lake Shore Dr.",,,,
Virginia Glossa,,,,Urban Scape,1970,,creation date: 1970,,627 W. 18th St.,Chicago,627 W. 18th St.,,,,
Louis Boyd,,,,Wall of Dreamers/Wall of Liberating Dreamers,1970,,creation date: 1970,,6401 S. Sangamon St.,Chicago,"Christ Methodist Church, 6401 S. Sangamon St.",,,,
John Robinson,,,,Wall of Good Hope and Dreams,1970,,creation date: 1970,,874 N. Orleans St.,Chicago,874 N. Orleans St.,,,,
Eugene Eda,,,,Wall of Meditation,1970,,creation date: 1970,No,1441 N. Cleveland Ave.,Chicago,"Olivet Presbyterian Church, 1441 N. Cleveland Ave.",,,,
Mitchell Caton,,,,Nation Time,1971,,creation date: 1971,No,4141 S. Cottage Grove Ave.,Chicago,4141 S. Cottage Grove Ave.,,http://luna.lib.uchicago.edu/luna/servlet/s/16y344,7148544.jpg,"Mark Rogovin, original photography; For educational use only."
Mary Burton,,,,Bored of Education,1971,,creation date: 1971,,Seeley Ave. and Grenshaw St.,Chicago,"St. Mary's Center For Learning, Seeley Ave. and Grenshaw St.","41.867949, -87.677079",http://luna.lib.uchicago.edu/luna/servlet/s/470y7q,7148642.jpg,"Mark Rogovin, original photography; For educational use only."
Mario Galan,Puerto Rican Arts Association,,,La Crucifixion de Don Pedro Albizu Campos,1971,,creation date: 1971,,2425 W. North Ave.,Chicago,2425 W. North Ave.,,http://luna.lib.uchicago.edu/luna/servlet/s/ldi7la,7148554.jpg,"Mark Rogovin, original photography; For educational use only."
Ray Patlan,,,,Mural de la Raza,1971,,creation date: 1971,,1640 S. Blue Island Ave.,Chicago,1640 S. Blue Island Ave.,,,,
Lilian Bruelc,,,,Untitled,1971,,creation date: 1971,No,1300 S. Wabash Ave.,Chicago,"Archdiocese for Spanish Speaking Communities, 1300 S. Wabash Ave.",,,,
William Walker,,,,Black Love,1971,,creation date: 1971,,515 W. Oak St.,Chicago,"Opportunities Industrial Center, 515 W. Oak St.",,,,
Ray Patlan,,,,From My Father(s) and Yours,1971,,creation date: 1971,,1831 S. Racine Ave.,Chicago,"Casa Aztlan Auditorium, 1831 S. Racine Ave.",,,,
John Weber,Martinez,Students,,Fuertes Somos Ya,1971,,creation date: 1971,,2018 W. North Ave.,Chicago,"Albizu Campos Health Center, 2018 W. North Ave.",,,,
Sachio Yamashita,,,,Horses over Rainbow,1971,,creation date: 1971,,1410 N. Orleans St.,Chicago,1410 N. Orleans St.,,,,
Charles Thomas,,,,Marcel Duchamp Wear R.U.?,1971,,creation date: 1971,,2024 N. Halsted St.,Chicago,"Otto's Beer House, 2024 N. Halsted St.",,,,
Turtle Onli,,,,No More Drugs,1971,,creation date: 1971,,515 W. Oak St.,Chicago,"Opportunities Industrial Center, 515 W. Oak St.",,,,
Ray Patlan,,,,Reforma y Libertad,1971,,creation date: 1971,,21st St. and Laflin St.,Chicago,21st St. and Laflin St.,"41.854228, -87.663685",,,
John Weber,Martinez,Students,,Rompienda las Cadenas,1971,,creation date: 1971,,1456 N. Rockwell St.,Chicago,1456 N. Rockwell St.,,,,
Ricardo Alonzo,Students,,,Stop Now Gallery,1971,,creation date: 1971,,900 W. Hubbard St.,Chicago,900 W. Hubbard St.,,,,
Don Pellet,,,,The Wall of Games,1971,,creation date: 1971,,2512 N. Greenview Ave.,Chicago,"Wrightwood Park, 2512 N. Greenview Ave.",,,,
William Walker,,,,The Wall of Love,1971,,creation date: 1971,Yes,3831 S. Michigan Ave.,Chicago,"South Side Community Arts Center, 3381 S. Michgan Ave.",,,,
Don Pellet,,,,The Wall of Thoughts and Ideas,1971,,creation date: 1971,,2512 N. Greenview Ave.,Chicago,"Wrightwood Park, 2512 N. Greenview Ave.",,,,
Sachio Yamashito,,,,The Wave,1971,,creation date: 1971,,227 W. North Ave,Chicago,227 W. North Ave.,,,,
John Weber,Martinez,Students,,Unidos Para Triunfar,1971,,creation date: 1971,,2100 W. Division St.,Chicago,2100 W. Division St.,,,,
Don McIlvaine,,,,Untitled,1971,,creation date: 1971,,16th St. & Hamlin Ave.,Chicago,16th St. & Hamlin Ave.,"41.858942, -87.720062",,,
Anderson,Weiss,,,Untitled ,1971,,creation date: 1971,,4511 W. Madison St.,Chicago,4511 W. Madison St.,,,,
Ricardo Alonzo,,,,When the Masses...,1971,,creation date: 1971,,Damen Ave. and Grand Ave.,Chicago,Damen Ave. and Grand Ave.,"41.890820, -87.676902",,,
Thomas,Moody,James,,Untitled,1972,,creation date: 1972,,Hoyne Ave. and Madison St.,Chicago,"St. Leonard's Center, Hoyne Ave. and Madison St.","41.881312, -87.679076",,,
Eugene Eda,,,,72 Mural Doors,1972,,creation date: 1972,Yes,1900 W. Van Buren St.,Chicago,"Malcolm X College, 1900 W. Van Buren St.",,,,
