Creator	Title	Date	Material	Measurement	Culture	Inscription	Location	State or Edition	Work Rights	Image Rights	Record Creation Date	Record Modification Date	Work ID	Image ID	Technique	External Link	Text Reference	Style or Period1	Style or Period2	Style or Period3	Style or Period4	Style or Period5	Extended Title	Subject1	Subject2	Subject3	Subject4	Subject5	Subject6	Subject7	Subject8	Subject9	Subject10	General Subject	Work Description	Work Description Source	Image Description	Related Works	Image Source	Local Call Number	Order Number	Course Number and Instructor	Order Description	Creator Name1	Creator Name2	Creator Name3	Creator Name4	Creator Name5	Creator Name6	Creator Name7	Creator Name8	Alternate Creator Name1	Alternate Creator Name2	Alternate Creator Name3	Alternate Creator Name4	Alternate Creator Name5	Alternate Creator Name6	Alternate Creator Name7	Alternate Creator Name8	Image Classification Term	Object Type1	Object Type2	Object Type3	Object Type4	Object Type5
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136143				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	1967, 2nd version	Black Laws; related to	B. Solari, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136144				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	top: Raised Black Power Fist by Eugene "Edaw" Wade, with portraits of Stokely Carmichael and H. Rap Brown, bottom: Nat Turner preaching to crowd by William Walker, 1967 2nd version	Black Laws; related to	B. Solari, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136145				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Dave Garlovsky, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail: Rhythm and Blues by Wadsworth Jarrell	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136146				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	Clockwise: James Brown, Aretha Franklin, Smokey Robinson, Stevie Wonder, The Marvelettes, Muddy Waters, Ray Charles, and Billie Holiday. Painted by Wadsworth Jarrell	Black Laws; related to	B. Solari, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136147				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits			Black Laws	Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136148				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits			Black Unity	Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136149				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	Musicians (painted by Jeff Donaldson and Elliot Hunter, with photograph by Billy Abernathy); LeRoi Jones/Amira Baraka (photograph by Darryl Cowherd) and actors (painted by Barbara Jones)	Black Laws; related to	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136150				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Dave Garlovsky, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136151				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	athletes: Bill Russell, Jim Brown, Wilt Chamberlain, Lew Alcindor, painted by Myrna Weaver, Sara Vaughn, photograph by Billy Abernathy; jazz musicians painted by Jeff Donaldson and Elliot Hunter	Black Laws; related to	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136153				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	Muhammad Ali, painted by Myrna Weaver	Black Laws; related to	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
